"ID";"ErgZei";"Typ"
282;"Lennard Bohne, Daniel Häckel, Jonas Clemens, Kubilay Ceylan, St. Vukasin Vasin +0:15.93";
283;"Schiedsrichter: MENOLD, Klaus (Heidelberg, GER)";
284;"Rennen 110 - JF 2x A LG, Lgw.-Juniorinnen-Doppelzweier A";
285;"Finale";
286;"Rang StNr Boot/Mannschaft Ergebnis";
287;"1 4 Ulmer Ruderclub Donau e.V. 4:02.30";
288;"Tirza Wilhelm, Clara Wilhelm";
289;"2 3 Ruderclub Nürtingen e.V. 4:13.80";
290;"Barbara Schöckle, Nele Fischer +0:11.50";
291;"3 2 Breisacher Ruderverein e.V. 4:23.52";
292;"Elisa End, Maja Leder +0:21.22";
293;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
294;"Abmeldungen";
295;"1 Stuttgart-Cannstatter RC";
296;"Rennen 111 - MM/F 2x C, Masters-Mixed-Doppelzweier C";
297;"Finale";
298;"Rang StNr Boot/Mannschaft Ergebnis";
299;"1 1 Karlsruher Rheinklub Alemannia e.V. 4:24.20";
300;"Claudia Ciescholka, Josef Gravenhorst";
301;"2 2 Breisacher Ruderverein e.V. 4:38.10";
302;"Helmut Schuler, Susanne Schäfer +0:13.90";
303;"Schiedsrichter: BRANDT, Joachim (Abstatt, GER)";
304;"Rennen 112 - Mäd 1x 13 LG, Lgw.-Mädchen-Einer 13 Jahre";
305;"Finale";
306;"Rang StNr Boot/Mannschaft Ergebnis";
307;"1 1 Rudergesellschaft Eberbach 1899 e.V. 5:52.99";
308;"Helene Ella Müller";
309;"2 2 Ruderclub Nürtingen e.V. 6:01.88";
310;"Annalena Isabell Gruber +0:08.88";
311;"3 3 Stuttgarter Rudergesellschaft von 1899 e.V. 6:20.17";
312;"Mara Jericke +0:27.17";
313;"Schiedsrichter: MENOLD, Klaus (Heidelberg, GER)";
314;"Internet: https://breisacher-ruderverein.de Seite 7/46";
315;"Breisacher Ruderverein e.V. Report erstellt: SO 27 JUL 2025 / 17:17 Version 7.0";
316;"Rennen 113 - JM 2- A, Junioren-Zweier o. St. A";
317;"Finale";
318;"Rang StNr Boot/Mannschaft Ergebnis";
319;"1 3 Ruderclub Nürtingen e.V. 3:50.29";
320;"Maximilian Hammer, Lukas Dorfschmid";
321;"2 2 Stuttgarter Rudergesellschaft von 1899 e.V. 3:55.60";
322;"Jannik Fachat, Paul Schläger +0:05.31";
323;"3 1 Ulmer Ruderclub Donau e.V. 3:59.98";
324;"Jakob Krauter, Tom Fuchs +0:09.68";
325;"Schiedsrichter: FALK, Mary Carol (Ladenburg, GER)";
326;"Rennen 114 - SF 2x A LG, Lgw.-Frauen-Doppelzweier A";
