1;Schnulli Bulli;id;inhalt;quelle
109;Schnulli Bulli;108;3 4 USA (b) THOENNES Jess 1:48.56 (5) 3:37.70 (4) 5:26.35 (3) 7:13.93 3;Sammelmappe1.pdf (Seite 4)
110;Schnulli Bulli;109;(s) DRAPP Holly 1:49.14 (4) 1:48.65 (1) 1:47.58 (1);Sammelmappe1.pdf (Seite 4)
111;Schnulli Bulli;110;4.37 6.18 6.15 5.41;Sammelmappe1.pdf (Seite 4)
112;Schnulli Bulli;111;4 3 ITA (b) MERIANO Laura 1:45.64 (2) 3:34.28 (3) 5:27.77 (4) 7:24.79 4;Sammelmappe1.pdf (Seite 4)
113;Schnulli Bulli;112;(s) CODATO Alice 1:48.64 (3) 1:53.49 (4) 1:57.02 (5);Sammelmappe1.pdf (Seite 4)
114;Schnulli Bulli;113;1.45 2.76 7.57 16.27;Sammelmappe1.pdf (Seite 4)
115;Schnulli Bulli;114;5 2 SRB (b) ARSIC Jovana 1:47.86 (4) 3:38.16 (5) 5:32.77 (5) 7:28.53 5;Sammelmappe1.pdf (Seite 4)
116;Schnulli Bulli;115;(s) ORJABINSKAJA Elena 1:50.30 (5) 1:54.61 (5) 1:55.76 (4);Sammelmappe1.pdf (Seite 4)
117;Schnulli Bulli;116;3.67 6.64 12.57 20.01;Sammelmappe1.pdf (Seite 4)
118;Schnulli Bulli;117;6 1 GBR (b) WITT Elizabeth 1:50.92 (6) 3:43.38 (6) 5:38.13 (6) 7:36.32 6;Sammelmappe1.pdf (Seite 4)
119;Schnulli Bulli;118;(s) LINDO Jade 1:52.46 (6) 1:54.75 (6) 1:58.19 (6);Sammelmappe1.pdf (Seite 4)
120;Schnulli Bulli;119;6.73 11.86 17.93 27.80;Sammelmappe1.pdf (Seite 4)
121;Schnulli Bulli;120;Legend:;Sammelmappe1.pdf (Seite 4)
122;Schnulli Bulli;121;b bow s stroke;Sammelmappe1.pdf (Seite 4)
123;Schnulli Bulli;122;F Final;Sammelmappe1.pdf (Seite 4)
124;Schnulli Bulli;123;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 4)
125;Schnulli Bulli;124;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 4)
126;Schnulli Bulli;125;Report Created THU 25 SEP 2025 / 14:38;Sammelmappe1.pdf (Seite 4)
127;Schnulli Bulli;126;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 5)
128;Schnulli Bulli;127;1 Results W2-;Sammelmappe1.pdf (Seite 5)
129;Schnulli Bulli;128;(Event) Women's Pair FB;Sammelmappe1.pdf (Seite 5)
130;Schnulli Bulli;129;THU 25 SEP 2025 Race 83;Sammelmappe1.pdf (Seite 5)
131;Schnulli Bulli;130;World Best: NZL PRENDERGAST Grace / WILLIAMS Kerri Tokyo (JPN) 2021 Olympic Games 6:47.41;Sammelmappe1.pdf (Seite 5)
132;Schnulli Bulli;131;World Champ' Best: GBR GLOVER Helen / STANNING Heather Amsterdam (NED) 2014 World Championships 6:50.61;Sammelmappe1.pdf (Seite 5)
133;Schnulli Bulli;132;World Champion: NED CLEVERING Ymkje / MEESTER Veronique Belgrade (SRB) 2023 World Championships 7:20.52;Sammelmappe1.pdf (Seite 5)
134;Schnulli Bulli;133;Ctry Total;Sammelmappe1.pdf (Seite 5)
135;Schnulli Bulli;134;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 5)
136;Schnulli Bulli;135;Code Rank;Sammelmappe1.pdf (Seite 5)
137;Schnulli Bulli;136;1 6 CHI (b) ABRAHAM Melita 1:46.10 (1) 3:38.29 (1) 5:30.74 (1) 7:25.83 7;Sammelmappe1.pdf (Seite 5)
138;Schnulli Bulli;137;(s) ABRAHAM Antonia 1:52.19 (2) 1:52.45 (1) 1:55.09 (3);Sammelmappe1.pdf (Seite 5)
139;Schnulli Bulli;138;2 5 CZE (b) SANTRUCKOVA Anna 1:47.73 (2) 3:39.70 (2) 5:34.07 (2) 7:28.57 8;Sammelmappe1.pdf (Seite 5)
140;Schnulli Bulli;139;(s) FLAMIKOVA Pavlina 1:51.97 (1) 1:54.37 (2) 1:54.50 (2);Sammelmappe1.pdf (Seite 5)
141;Schnulli Bulli;140;1.63 1.41 3.33 2.74;Sammelmappe1.pdf (Seite 5)
142;Schnulli Bulli;141;3 4 SUI (b) LOETSCHER Lisa 1:47.99 (3) 3:42.18 (3) 5:37.99 (3) 7:31.44 9;Sammelmappe1.pdf (Seite 5)
143;Schnulli Bulli;142;(s) DUPRE Celia 1:54.19 (4) 1:55.81 (3) 1:53.45 (1);Sammelmappe1.pdf (Seite 5)
144;Schnulli Bulli;143;1.89 3.89 7.25 5.61;Sammelmappe1.pdf (Seite 5)
145;Schnulli Bulli;144;4 3 LTU (b) JUZENAITE Ugne 1:50.60 (4) 3:43.26 (4) 5:39.59 (4) 7:37.98 10;Sammelmappe1.pdf (Seite 5)
146;Schnulli Bulli;145;(s) KRALIKAITE Kamile 1:52.66 (3) 1:56.33 (4) 1:58.39 (6);Sammelmappe1.pdf (Seite 5)
147;Schnulli Bulli;146;4.50 4.97 8.85 12.15;Sammelmappe1.pdf (Seite 5)
148;Schnulli Bulli;147;5 1 AUS (b) CAUDLE Taylor 1:51.13 (5) 3:46.69 (5) 5:45.22 (5) 7:43.28 11;Sammelmappe1.pdf (Seite 5)
149;Schnulli Bulli;148;(s) PRICE Eleanor 1:55.56 (5) 1:58.53 (5) 1:58.06 (5);Sammelmappe1.pdf (Seite 5)
150;Schnulli Bulli;149;5.03 8.40 14.48 17.45;Sammelmappe1.pdf (Seite 5)
151;Schnulli Bulli;150;6 2 DEN (b) HORNNAESS Clara 1:54.69 (6) 3:52.65 (6) 5:52.72 (6) 7:49.14 12;Sammelmappe1.pdf (Seite 5)
152;Schnulli Bulli;151;(s) FOLDAGER Frida Werner 1:57.96 (6) 2:00.07 (6) 1:56.42 (4);Sammelmappe1.pdf (Seite 5)
153;Schnulli Bulli;152;8.59 14.36 21.98 23.31;Sammelmappe1.pdf (Seite 5)
154;Schnulli Bulli;153;Legend:;Sammelmappe1.pdf (Seite 5)
155;Schnulli Bulli;154;b bow s stroke;Sammelmappe1.pdf (Seite 5)
156;Schnulli Bulli;155;F Final;Sammelmappe1.pdf (Seite 5)
157;Schnulli Bulli;156;INTERNET Service: www.worldrowing.com Page 1/1;Sammelmappe1.pdf (Seite 5)
158;Schnulli Bulli;157;World Rowing Data Service data processing by;Sammelmappe1.pdf (Seite 5)
159;Schnulli Bulli;158;Report Created THU 25 SEP 2025 / 13:43;Sammelmappe1.pdf (Seite 5)
160;Schnulli Bulli;159;Shanghai, China 21 - 28 September 2025;Sammelmappe1.pdf (Seite 6)
161;Schnulli Bulli;160;1 Results W2-;Sammelmappe1.pdf (Seite 6)
162;Schnulli Bulli;161;(Event) Women's Pair FC;Sammelmappe1.pdf (Seite 6)
163;Schnulli Bulli;162;TUE 23 SEP 2025 Race 52;Sammelmappe1.pdf (Seite 6)
164;Schnulli Bulli;163;World Best: NZL PRENDERGAST Grace / WILLIAMS Kerri Tokyo (JPN) 2021 Olympic Games 6:47.41;Sammelmappe1.pdf (Seite 6)
165;Schnulli Bulli;164;World Champ' Best: GBR GLOVER Helen / STANNING Heather Amsterdam (NED) 2014 World Championships 6:50.61;Sammelmappe1.pdf (Seite 6)
166;Schnulli Bulli;165;World Champion: NED CLEVERING Ymkje / MEESTER Veronique Belgrade (SRB) 2023 World Championships 7:20.52;Sammelmappe1.pdf (Seite 6)
167;Schnulli Bulli;166;Ctry Total;Sammelmappe1.pdf (Seite 6)
168;Schnulli Bulli;167;Rank Lane Name 500m 1000m 1500m 2000m;Sammelmappe1.pdf (Seite 6)
169;Schnulli Bulli;168;Code Rank;Sammelmappe1.pdf (Seite 6)
